Kommune nr & navn;kommune_nr;"Kommune
navn";innvgrunn_5.alle;innvgrunn_5.arbeid;innvgrunn_5.flukt;innvgrunn_5.familie;innvgrunn_5.annet_uoppgitt;innvgrunn_5.alle;innvgrunn_5.arbeid;innvgrunn_5.flukt;innvgrunn_5.familie;innvgrunn_5.annet_uoppgitt;innvgrunn_5.alle;innvgrunn_5.arbeid;innvgrunn_5.flukt;innvgrunn_5.familie;innvgrunn_5.annet_uoppgitt
Nedbrytninger;;;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0
Kjønn;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer
1245 Sund;1245;Sund;535;216;180;135;4;290;149;102;39;0;245;67;78;96;4
1246 Fjell;1246;Fjell;1 636;625;375;621;15;883;502;194;180;7;753;123;181;441;8
1247 Askøy;1247;Askøy;1 688;650;387;635;16;930;528;192;203;7;758;122;195;432;9
1251 Vaksdal;1251;Vaksdal;227;68;66;90;3;123;51;37;35;0;104;17;29;55;3
1252 Modalen;1252;Modalen;15;4;3;8;0;8;4;0;4;0;7;0;3;4;0
1253 Osterøy;1253;Osterøy;505;224;23;248;10;268;186;12;65;5;237;38;11;183;5
1256 Meland;1256;Meland;513;172;96;242;3;256;139;47;70;0;257;33;49;172;3
1259 Øygarden;1259;Øygarden;369;118;99;152;0;192;93;53;46;0;177;25;46;106;0
1260 Radøy;1260;Radøy;428;211;34;177;6;242;168;17;54;3;186;43;17;123;3
1263 Lindås;1263;Lindås;872;378;131;352;11;473;294;77;98;4;399;84;54;254;7
1264 Austrheim;1264;Austrheim;288;178;10;96;4;185;152;5;24;4;103;26;5;72;0
1265 Fedje;1265;Fedje;25;8;0;17;0;11;5;0;6;0;14;3;0;11;0
