Kommune nr & navn;kommune_nr;"Kommune
navn";botid_5.0-4;botid_5.5-9;botid_5.10+;botid_5.0-4;botid_5.5-9;botid_5.10+
Nedbrytninger;;;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent
1502 Molde;1502;Molde;689;320;383;62,2;80,4;78,2
1504 Ålesund;1504;Ålesund;1542;715;789;68;78,1;73,3
1505 Kristiansund;1505;Kristiansund;617;389;332;61;79,1;69,6
1511 Vanylven;1511;Vanylven;54;27;22;68,4;93,1;68,8
1514 Sande (M. og R.);1514;Sande (M. og R.);180;61;28;81,4;85,9;77,8
1515 Herøy (M. og R.);1515;Herøy (M. og R.);356;89;99;78,2;75,4;71,2
1516 Ulstein;1516;Ulstein;499;110;145;73,4;82,1;77,5
1517 Hareid;1517;Hareid;174;116;126;66,2;80;84,6
1519 Volda;1519;Volda;148;76;113;45,3;74,5;74,3
1520 Ørsta;1520;Ørsta;179;100;111;64,4;75,8;79,3
1523 Ørskog;1523;Ørskog;58;50;56;59,2;74,6;72,7
1524 Norddal;1524;Norddal;27;40;26;81,8;93;83,9
1525 Stranda;1525;Stranda;235;119;77;80,8;88,8;83,7
1526 Stordal;1526;Stordal;39;38;10;67,2;82,6;83,3
1528 Sykkylven;1528;Sykkylven;180;174;141;63,8;80,2;77,9
1529 Skodje;1529;Skodje;90;62;60;67,7;81,6;73,2
1531 Sula;1531;Sula;276;108;125;75,6;86,4;77,6
1532 Giske;1532;Giske;240;82;91;69,8;82;75,8
1534 Haram;1534;Haram;269;202;208;64;81,1;84,2
1535 Vestnes;1535;Vestnes;213;103;102;68,7;81,1;82,9
1539 Rauma;1539;Rauma;143;112;76;79,4;90,3;80
1543 Nesset;1543;Nesset;30;29;33;66,7;82,9;78,6
1545 Midsund;1545;Midsund;74;49;22;83,1;89,1;71
1546 Sandøy;1546;Sandøy;40;44;15;71,4;88;83,3
1547 Aukra;1547;Aukra;94;53;51;75,2;84,1;81
1548 Fræna;1548;Fræna;189;105;105;62,8;75,5;71,9
1551 Eide;1551;Eide;61;36;26;57,5;87,8;76,5
1554 Averøy;1554;Averøy;131;96;62;73,2;92,3;81,6
1557 Gjemnes;1557;Gjemnes;35;36;25;59,3;94,7;62,5
1560 Tingvoll;1560;Tingvoll;47;42;45;52,2;82,4;81,8
1563 Sunndal;1563;Sunndal;70;69;67;32,3;69,7;72
1566 Surnadal;1566;Surnadal;48;30;47;55,8;81,1;73,4
1567 Rindal;1567;Rindal; : ; : ; : ; : ; : ; : 
1571 Halsa;1571;Halsa; : ; : ; : ; : ; : ; : 
1573 Smøla;1573;Smøla;63;27;13;81,8;75;68,4
1576 Aure;1576;Aure;108;47;22;70,6;83,9;64,7
1601 Trondheim;1601;Trondheim;4389;2599;4236;56,5;72,8;69,9
1612 Hemne;1612;Hemne;49;36;24;49;78,3;66,7
1613 Snillfjord;1613;Snillfjord; : ; : ; : ; : ; : ; : 
1617 Hitra;1617;Hitra;311;140;55;72,7;84,8;83,3
1620 Frøya;1620;Frøya;330;170;53;84,4;86,3;81,5
1621 Ørland;1621;Ørland;56;54;34;62,2;79,4;72,3
1622 Agdenes;1622;Agdenes;29;10;25;64,4;66,7;80,6
1624 Rissa;1624;Rissa;139;88;48;56,7;82,2;71,6
1627 Bjugn;1627;Bjugn;77;24;36;72,6;82,8;75
1630 Åfjord;1630;Åfjord;37;10;11;78,7;90,9;78,6
1632 Roan;1632;Roan; : ; : ; : ; : ; : ; : 
1633 Osen;1633;Osen; : ; : ; : ; : ; : ; : 
1634 Oppdal;1634;Oppdal;135;63;62;62,2;74,1;74,7
1635 Rennebu;1635;Rennebu;28;18;9;73,7;78,3;69,2
1636 Meldal;1636;Meldal;49;41;18;62;77,4;78,3
1638 Orkdal;1638;Orkdal;108;105;142;51,9;68,6;72,1
1640 Røros;1640;Røros;81;42;94;72,3;82,4;79
1644 Holtålen;1644;Holtålen; : ; : ; : ; : ; : ; : 
1648 Midtre Gauldal;1648;Midtre Gauldal;332;136;38;79,6;85;66,7
1653 Melhus;1653;Melhus;207;151;133;59;77;70,7
1657 Skaun;1657;Skaun;77;53;53;63,1;84,1;77,9
1662 Klæbu;1662;Klæbu;88;76;57;62,4;80,9;77
1663 Malvik;1663;Malvik;186;180;209;62,4;81,1;78,9
1664 Selbu;1664;Selbu;34;32;32;56,7;71,1;76,2
1665 Tydal;1665;Tydal; : ; : ; : ; : ; : ; : 
1702 Steinkjer;1702;Steinkjer;225;181;161;45,6;75,4;61,7
1703 Namsos;1703;Namsos;123;98;168;41;74,2;78,9
1711 Meråker;1711;Meråker;34;19;31;33,7;70,4;72,1
1714 Stjørdal;1714;Stjørdal;240;196;269;52,5;74,5;74,9
1717 Frosta;1717;Frosta;67;11;22;69,1;64,7;75,9
1718 Leksvik;1718;Leksvik;55;29;31;62,5;80,6;83,8
1719 Levanger;1719;Levanger;297;177;222;64,7;76,3;74
1721 Verdal;1721;Verdal;219;147;114;58,4;71,7;69,5
1724 Verran;1724;Verran;65;38;15;46,4;50,7;71,4
1725 Namdalseid;1725;Namdalseid; : ; : ; : ; : ; : ; : 
1736 Snåsa;1736;Snåsa; : ; : ; : ; : ; : ; : 
1738 Lierne;1738;Lierne;18;5;30;78,3;71,4;93,8
1739 Røyrvik;1739;Røyrvik; : ; : ; : ; : ; : ; : 
1740 Namsskogan;1740;Namsskogan; : ; : ; : ; : ; : ; : 
1742 Grong;1742;Grong;42;15;21;33,1;75;67,7
1743 Høylandet;1743;Høylandet; : ; : ; : ; : ; : ; : 
1744 Overhalla;1744;Overhalla;55;25;14;59,8;80,6;66,7
1748 Fosnes;1748;Fosnes; : ; : ; : ; : ; : ; : 
1749 Flatanger;1749;Flatanger; : ; : ; : ; : ; : ; : 
1750 Vikna;1750;Vikna;110;49;24;71;77,8;75
1751 Nærøy;1751;Nærøy;73;36;44;55,3;73,5;80
1755 Leka;1755;Leka; : ; : ; : ; : ; : ; : 
1756 Inderøy (f.o.m. 2012);1756;Inderøy (f.o.m. 2012);54;37;52;48,2;78,7;82,5
1804 Bodø;1804;Bodø;881;482;668;55,2;74,2;75,2
1805 Narvik;1805;Narvik;441;226;287;55,4;72;76,3
1811 Bindal;1811;Bindal; : ; : ; : ; : ; : ; : 
1812 Sømna;1812;Sømna; : ; : ; : ; : ; : ; : 
1813 Brønnøy;1813;Brønnøy;96;61;75;53;65,6;72,8
1815 Vega;1815;Vega; : ; : ; : ; : ; : ; : 
1816 Vevelstad;1816;Vevelstad; : ; : ; : ; : ; : ; : 
1818 Herøy (Nordl.);1818;Herøy (Nordl.);90;14;9;65,2;73,7;60
1820 Alstahaug;1820;Alstahaug;156;54;104;51,5;74;80,6
1822 Leirfjord;1822;Leirfjord;29;13;21;39,7;59,1;65,6
1824 Vefsn;1824;Vefsn;126;105;121;50,8;78,9;72,5
1825 Grane;1825;Grane; : ; : ; : ; : ; : ; : 
1826 Hattfjelldal;1826;Hattfjelldal; : ; : ; : ; : ; : ; : 
1827 Dønna;1827;Dønna; : ; : ; : ; : ; : ; : 
1828 Nesna;1828;Nesna;45;34;16;33,3;81;61,5
1832 Hemnes;1832;Hemnes;41;32;40;59,4;74,4;69
1833 Rana;1833;Rana;312;168;235;55,5;70;76,3
1834 Lurøy;1834;Lurøy;44;16;12;78,6;100;80
1835 Træna;1835;Træna;48;16;3;92,3;94,1;50
1836 Rødøy;1836;Rødøy; : ; : ; : ; : ; : ; : 
1837 Meløy;1837;Meløy;106;47;52;62,7;77;75,4
1838 Gildeskål;1838;Gildeskål;70;25;15;72,2;78,1;71,4
1839 Beiarn;1839;Beiarn; : ; : ; : ; : ; : ; : 
1840 Saltdal;1840;Saltdal;57;22;58;35;75,9;77,3
1841 Fauske;1841;Fauske;98;56;94;59,8;72,7;70,1
1845 Sørfold;1845;Sørfold;34;10;10;75,6;76,9;71,4
1848 Steigen;1848;Steigen;37;24;22;50;70,6;61,1
1849 Hamarøy;1849;Hamarøy;51;25;35;67,1;80,6;79,5
1850 Tysfjord;1850;Tysfjord;49;8;15;69;66,7;78,9
1851 Lødingen;1851;Lødingen;53;26;25;36,3;76,5;73,5
1852 Tjeldsund;1852;Tjeldsund; : ; : ; : ; : ; : ; : 
1853 Evenes;1853;Evenes; : ; : ; : ; : ; : ; : 
1854 Ballangen;1854;Ballangen;31;18;22;53,4;72;62,9
1856 Røst;1856;Røst; : ; : ; : ; : ; : ; : 
1857 Værøy;1857;Værøy;43;27;9;84,3;79,4;90
1859 Flakstad;1859;Flakstad; : ; : ; : ; : ; : ; : 
1860 Vestvågøy;1860;Vestvågøy;172;102;102;52,9;67,5;78,5
1865 Vågan;1865;Vågan;249;117;142;57,2;75;77,2
