kommunenr.kommunenavn;kommune_nr;"Kommune
navn";tilskudd_til_kommuner.totalt;tilskudd_til_kommuner.inttilsk_1.5;tilskudd_til_kommuner.inttilsk_1;tilskudd_til_kommuner.inttilsk_2.5;tilskudd_til_kommuner.funkhem;tilskudd_til_kommuner.norsk.samf_tilsk;tilskudd_til_kommuner.em_tilsk;tilskudd_til_kommuner.barnehage_tilsk;tilskudd_til_kommuner.eldre_tilsk;tilskudd_til_kommuner.skole_tilsk
;;;enhet.kroner;enhet.kroner;enhet.kroner;enhet.kroner;enhet.kroner;enhet.kroner;enhet.kroner;enhet.kroner;enhet.kroner;enhet.kroner
1001 Kristiansand;1001;Kristiansand;121822231,00;102440500,00;27125000,00;75315500,00;5853406,00;0,00;11254125,00;372600,00;277400,00;1624200,00
1002 Mandal;1002;Mandal;20066790,00;18745500,00;7017500,00;11728000,00;285456,00;0,00;584934,00;41400,00;0,00;409500,00
1003 Farsund;1003;Farsund;9756688,00;9211000,00;2160000,00;7051000,00;0,00;0,00;246288,00;68400,00;0,00;231000,00
1004 Flekkefjord;1004;Flekkefjord;5535161,00;4711000,00;0,00;4711000,00;226585,00;0,00;492576,00;0,00;0,00;105000,00
1014 Vennesla;1014;Vennesla;11233643,00;10138000,00;3300000,00;6838000,00;730243,00;0,00;0,00;144900,00;0,00;220500,00
1017 Songdalen;1017;Songdalen;10742544,00;10399500,00;2525000,00;7874500,00;0,00;0,00;123144,00;41400,00;0,00;178500,00
1018 Søgne;1018;Søgne;14074764,00;11166000,00;2717500,00;8448500,00;1971300,00;0,00;738864,00;62100,00;0,00;136500,00
1021 Marnardal;1021;Marnardal;3374500,00;3322000,00;810000,00;2512000,00;0,00;0,00;0,00;0,00;0,00;52500,00
1026 Åseral;1026;Åseral;2363000,00;2321000,00;0,00;2321000,00;0,00;0,00;0,00;0,00;0,00;42000,00
1027 Audnedal;1027;Audnedal;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1029 Lindesnes;1029;Lindesnes;5598544,00;5103500,00;1530000,00;3573500,00;0,00;0,00;123144,00;0,00;277400,00;94500,00
1032 Lyngdal;1032;Lyngdal;12172266,00;10596000,00;3245000,00;7351000,00;0,00;0,00;1251366,00;41400,00;0,00;283500,00
1034 Hægebostad;1034;Hægebostad;3638200,00;3468000,00;840000,00;2628000,00;0,00;0,00;0,00;0,00;138700,00;31500,00
1037 Kvinesdal;1037;Kvinesdal;7768116,00;6389500,00;1400000,00;4989500,00;0,00;0,00;1210916,00;20700,00;0,00;147000,00
1046 Sirdal;1046;Sirdal;958000,00;916000,00;0,00;916000,00;0,00;0,00;0,00;0,00;0,00;42000,00
