Kommune nr & navn;kommune_nr;"Kmmune
navn";innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf;innvkat_5.alle;innvkat_5.innvandrere;innvkat_5.befolkningen_ellers;innvkat_5.norskfodte_m_innvf;innvkat_5.bef_u_innv_og_norskf
Nedbrytninger;;;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.alle;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.1;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0;kjonn.0
Kjønn;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
0514 Lom;514;Lom;67;.;67;.;67;74,4;.;74,4;.;74,4;40;.;40;.;40;72,7;.;72,7;.;72,7;27;.;27;.;27;77,1;.;77,1;.;77,1
0515 Vågå;515;Vågå;103;.;103;.;103;72;.;72;.;72;46;.;46;.;46;65,7;.;65,7;.;65,7;57;.;57;.;57;78,1;.;78,1;.;78,1
0516 Nord-Fron;516;Nord-Fron;150;2;148;.;148;63;25;64,3;.;64,6;71;1;70;.;70;59,2;25;60,3;.;60,3;79;1;78;.;78;66,9;25;68,4;.;69
0517 Sel;517;Sel;160;.;160;2;158;73,1;.;74,1;66,7;74,2;79;.;79;1;78;66,9;.;68,7;50;69;81;.;81;1;80;80,2;.;80,2;100;80
0519 Sør-Fron;519;Sør-Fron;82;.;82;.;82;59;.;59,4;.;59,4;37;.;37;.;37;50,7;.;51,4;.;51,4;45;.;45;.;45;68,2;.;68,2;.;68,2
0520 Ringebu;520;Ringebu;123;8;115;.;115;69,9;61,5;70,6;.;71,4;52;3;49;.;49;61,9;50;62,8;.;63,6;71;5;66;.;66;77,2;71,4;77,6;.;78,6
0521 Øyer;521;Øyer;165;7;158;1;157;70,8;53,8;71,8;100;71,7;84;3;81;1;80;65,1;37,5;66,9;100;66,7;81;4;77;.;77;77,9;80;77,8;.;77,8
0522 Gausdal;522;Gausdal;166;3;163;.;163;70;50;70,6;.;70,6;86;.;86;.;86;66,7;.;68,3;.;68,3;80;3;77;.;77;74,1;100;73,3;.;73,3
0528 Østre Toten;528;Østre Toten;393;12;381;2;379;71,6;60;72;50;72,2;190;6;184;.;184;66,9;46,2;67,9;.;68,1;203;6;197;2;195;76,6;85,7;76,4;66,7;76,5
0529 Vestre Toten;529;Vestre Toten;341;9;332;1;331;63,6;42,9;64,5;50;64,5;161;2;159;.;159;57,3;16,7;59,1;.;59,3;180;7;173;1;172;70,6;77,8;70,3;100;70,2
0532 Jevnaker;532;Jevnaker;175;4;171;1;170;68,9;57,1;69,2;33,3;69,7;81;1;80;.;80;62,3;25;63,5;.;63,5;94;3;91;1;90;75,8;100;75,2;33,3;76,3
0533 Lunner;533;Lunner;256;6;250;4;246;68,3;60;68,5;80;68,3;108;2;106;1;105;64,3;66,7;64,2;50;64,4;148;4;144;3;141;71,5;57,1;72;100;71,6
0534 Gran;534;Gran;379;9;370;3;367;71;60;71,3;60;71,4;174;4;170;.;170;62,1;44,4;62,7;.;63,2;205;5;200;3;197;80,7;83,3;80,6;100;80,4
0536 Søndre Land;536;Søndre Land;146;7;139;.;139;68,2;77,8;67,8;.;67,8;70;4;66;.;66;65,4;66,7;65,3;.;65,3;76;3;73;.;73;71;100;70,2;.;70,2
0538 Nordre Land;538;Nordre Land;169;1;168;.;168;66,8;33,3;67,2;.;67,2;84;.;84;.;84;60;.;60,4;.;60,4;85;1;84;.;84;75,2;50;75,7;.;75,7
