Kommune nr & navn;kommune_nr;"Kommune
navn";spraak.alle;spraak.minoritet;spraak.ikke_minoritet;spraak.alle;spraak.minoritet;spraak.ikke_minoritet
Nedbrytninger;;;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent
1648 Midtre Gauldal;1648;Midtre Gauldal;24;3;21;100;12,5;87,5
1653 Melhus;1653;Melhus;96;11;85;100;11,5;88,5
1657 Skaun;1657;Skaun;42;2;40;100;4,8;95,2
1662 Klæbu;1662;Klæbu;33;5;28;100;15,2;84,8
1663 Malvik;1663;Malvik;86;10;76;100;11,6;88,4
1664 Selbu;1664;Selbu;17;.;.;:;.;:
1665 Tydal;1665;Tydal;9;.;.;:;.;:
1702 Steinkjer;1702;Steinkjer;107;19;88;100;17,8;82,2
1703 Namsos;1703;Namsos;107;31;76;100;29;71
1711 Meråker;1711;Meråker;11;2;9;100;18,2;81,8
1714 Stjørdal;1714;Stjørdal;179;49;130;100;27,4;72,6
1717 Frosta;1717;Frosta;18;2;16;100;11,1;88,9
1718 Leksvik;1718;Leksvik;18;3;15;100;16,7;83,3
1719 Levanger;1719;Levanger;130;28;102;100;21,5;78,5
1721 Verdal;1721;Verdal;150;36;114;100;24;76
1724 Verran;1724;Verran;8;.;.;:;.;:
1725 Namdalseid;1725;Namdalseid;9;1;8;100;11,1;88,9
1736 Snåase Snåsa;1736;Snåase Snåsa;4;.;.;:;.;:
1738 Lierne;1738;Lierne;5;1;4;100;20;80
1739 Raarvihke Røyrvik;1739;Raarvihke Røyrvik;:;:;:;:;:;:
1740 Namsskogan;1740;Namsskogan;:;:;:;:;:;:
1742 Grong;1742;Grong;11;3;8;100;27,3;72,7
1743 Høylandet;1743;Høylandet;4;.;.;:;.;:
1744 Overhalla;1744;Overhalla;19;5;14;100;26,3;73,7
1748 Fosnes;1748;Fosnes;7;2;5;100;28,6;71,4
1749 Flatanger;1749;Flatanger;6;.;.;:;.;:
1750 Vikna;1750;Vikna;24;1;23;100;4,2;95,8
1751 Nærøy;1751;Nærøy;22;2;20;100;9,1;90,9
1755 Leka;1755;Leka;:;:;:;:;:;:
1756 Inderøy;1756;Inderøy;35;9;26;100;25,7;74,3
1804 Bodø;1804;Bodø;213;29;184;100;13,6;86,4
1805 Narvik;1805;Narvik;93;18;75;100;19,4;80,6
1811 Bindal;1811;Bindal;:;:;:;:;:;:
1812 Sømna;1812;Sømna;14;1;13;100;7,1;92,9
1813 Brønnøy;1813;Brønnøy;34;7;27;100;20,6;79,4
1815 Vega;1815;Vega;6;.;.;:;.;:
1816 Vevelstad;1816;Vevelstad;:;:;:;:;:;:
1818 Herøy;1818;Herøy;11;.;.;:;.;:
1820 Alstahaug;1820;Alstahaug;58;20;38;100;34,5;65,5
1822 Leirfjord;1822;Leirfjord;19;9;10;100;47,4;52,6
1824 Vefsn;1824;Vefsn;47;10;37;100;21,3;78,7
1825 Grane;1825;Grane;3;.;.;:;.;:
1826 Hattfjelldal;1826;Hattfjelldal;:;:;:;:;:;:
1827 Dønna;1827;Dønna;5;.;.;:;.;:
1828 Nesna;1828;Nesna;12;5;7;100;41,7;58,3
1832 Hemnes;1832;Hemnes;14;3;11;100;21,4;78,6
1833 Rana;1833;Rana;154;23;131;100;14,9;85,1
1834 Lurøy;1834;Lurøy;7;1;6;100;14,3;85,7
1835 Træna;1835;Træna;6;2;4;100;33,3;66,7
1836 Rødøy;1836;Rødøy;13;.;.;:;.;:
1837 Meløy;1837;Meløy;82;11;71;100;13,4;86,6
1838 Gildeskål;1838;Gildeskål;15;2;13;100;13,3;86,7
1839 Beiarn;1839;Beiarn;9;.;.;:;.;:
1840 Saltdal;1840;Saltdal;21;3;18;100;14,3;85,7
1841 Fauske;1841;Fauske;57;3;54;100;5,3;94,7
1845 Sørfold;1845;Sørfold;13;.;.;:;.;:
1848 Steigen;1848;Steigen;19;4;15;100;21,1;78,9
1849 Hábmer Hamarøy;1849;Hábmer Hamarøy;22;8;14;100;36,4;63,6
1850 Divtasvuodna Tysfjord;1850;Divtasvuodna Tysfjord;10;3;7;100;30;70
1851 Lødingen;1851;Lødingen;10;1;9;100;10;90
1852 Tjeldsund;1852;Tjeldsund;:;:;:;:;:;:
1853 Evenes;1853;Evenes;4;3;1;100;75;25
1854 Ballangen;1854;Ballangen;19;3;16;100;15,8;84,2
1856 Røst;1856;Røst;3;.;.;:;.;:
1857 Værøy;1857;Værøy;:;:;:;:;:;:
1859 Flakstad;1859;Flakstad;7;.;.;:;.;:
1860 Vestvågøy;1860;Vestvågøy;60;2;58;100;3,3;96,7
1865 Vågan;1865;Vågan;72;12;60;100;16,7;83,3
1866 Hadsel;1866;Hadsel;81;29;52;100;35,8;64,2
1867 Bø;1867;Bø;5;1;4;100;20;80
1868 Øksnes;1868;Øksnes;15;1;14;100;6,7;93,3
1870 Sortland;1870;Sortland;59;16;43;100;27,1;72,9
1871 Andøy;1871;Andøy;21;2;19;100;9,5;90,5
1874 Moskenes;1874;Moskenes;:;:;:;:;:;:
1902 Tromsø;1902;Tromsø;264;68;196;100;25,8;74,2
1903 Harstad;1903;Harstad;101;30;71;100;29,7;70,3
1911 Kvæfjord;1911;Kvæfjord;18;12;6;100;66,7;33,3
1913 Skånland;1913;Skånland;8;.;.;:;.;:
1917 Ibestad;1917;Ibestad;:;:;:;:;:;:
1919 Gratangen;1919;Gratangen;:;:;:;:;:;:
1920 Lavangen;1920;Lavangen;4;.;.;:;.;:
1922 Bardu;1922;Bardu;12;.;.;:;.;:
1923 Salangen;1923;Salangen;4;.;.;:;.;:
1924 Målselv;1924;Målselv;20;.;.;:;.;:
1925 Sørreisa;1925;Sørreisa;19;2;17;100;10,5;89,5
1926 Dyrøy;1926;Dyrøy;3;.;.;:;.;:
1927 Tranøy;1927;Tranøy;:;:;:;:;:;:
1928 Torsken;1928;Torsken;3;1;2;100;33,3;66,7
1929 Berg;1929;Berg;6;1;5;100;16,7;83,3
1931 Lenvik;1931;Lenvik;63;11;52;100;17,5;82,5
1933 Balsfjord;1933;Balsfjord;22;.;.;:;.;:
1936 Karlsøy;1936;Karlsøy;14;1;13;100;7,1;92,9
1938 Lyngen;1938;Lyngen;22;1;21;100;4,5;95,5
1939 Omasvuotna Storfjord Omasvuonon;1939;Omasvuotna Storfjord Omasvuonon;6;.;.;:;.;:
