Kommune nr & navn;kommune_nr;"Kommune
navn";innvkat_3.alle;innvkat_3.befolkningen_ellers;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.alle;innvkat_3.befolkningen_ellers;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere
Nedbrytninger;;;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.alle;vreg_3.alle;vreg_3.1;vreg_3.2
;;;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
1037 Kvinesdal;1037;Kvinesdal;732;618;114;36;78;19,3;18,1;31,6;20,1;42,9
1046 Sirdal;1046;Sirdal;155;124;31;22;9;13,3;12,4;19,1;18,3;21,4
1101 Eigersund;1101;Eigersund;1622;1261;361;166;195;16,6;14,8;28;22,5;35,3
1102 Sandnes;1102;Sandnes;7508;5047;2461;873;1588;15,5;13,1;24,6;17,3;32,2
1103 Stavanger;1103;Stavanger;14472;9249;5223;2003;3220;16;13,2;25,4;19,4;31,4
1106 Haugesund;1106;Haugesund;4930;3595;1335;600;735;20,2;17,9;30,4;24,8;37,4
1111 Sokndal;1111;Sokndal;327;306;21;11;10;15,8;15,7;16,9;16,7;17,2
1112 Lund;1112;Lund;323;253;70;23;47;15,7;13,8;33,2;22,3;43,5
1114 Bjerkreim;1114;Bjerkreim;210;171;39;28;11;11,6;10,6;18,9;17,5;23,9
1119 Hå;1119;Hå;1653;1149;504;279;225;14;11,7;25,7;20,2;39
1120 Klepp;1120;Klepp;1633;1237;396;198;198;13,4;11,9;21,9;16,7;31,9
1121 Time;1121;Time;1514;1177;337;139;198;12,8;11,2;24,4;18,4;31,8
1122 Gjesdal;1122;Gjesdal;921;710;211;121;90;12;10,7;20,8;16,7;31,4
1124 Sola;1124;Sola;2329;1582;747;361;386;13,8;11,6;23,7;19,7;29,2
1127 Randaberg;1127;Randaberg;936;732;204;96;108;13,6;12,2;23,6;17,7;33,4
1129 Forsand;1129;Forsand;111;100;11;7;4;14,4;14,5;14,3;11,7;23,5
1130 Strand;1130;Strand;1277;1026;251;101;150;16,4;14,9;28,4;21,2;36,8
1133 Hjelmeland;1133;Hjelmeland;242;167;75;35;40;13,8;11,9;21,6;14,7;36,4
1134 Suldal;1134;Suldal;337;277;60;24;36;13,9;12,9;22,1;13,9;36,7
1135 Sauda;1135;Sauda;532;464;68;24;44;17,5;16,7;27,5;17,4;40,4
1141 Finnøy;1141;Finnøy;205;163;42;37;5;10,5;9,9;13,3;12,8;18,5
1142 Rennesøy;1142;Rennesøy;365;262;103;69;34;11,8;9,8;24,8;21,5;36,2
1144 Kvitsøy;1144;Kvitsøy;39;32;7; : ; : ;12,2;11,1;22,6; : ; : 
1145 Bokn;1145;Bokn;87;73;14;9;5;16,1;15,4;21,9;17,3;41,7
