Kommune nr & navn;kommune_nr;"Kommune
navn";innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers
Nedbrytninger;;;enhet.personer;enhet.personer;enhet.personer;enhet.prosent;enhet.prosent;enhet.prosent
1811 Bindal;1811;Bindal;608;20;588;71,9;55,6;72,6
1812 Sømna;1812;Sømna;931;49;882;78,2;58,3;79,7
1813 Brønnøy;1813;Brønnøy;3636;232;3404;77,8;61,5;79,2
1815 Vega;1815;Vega;543;23;520;77;65,7;77,6
1816 Vevelstad;1816;Vevelstad;223;20;203;77,7;76,9;77,8
1818 Herøy (Nordl.);1818;Herøy (Nordl.);753;113;640;72,8;65,7;74,2
1820 Alstahaug;1820;Alstahaug;3411;314;3097;75,9;62,2;77,6
1822 Leirfjord;1822;Leirfjord;990;63;927;74,8;49,6;77,4
1824 Vefsn;1824;Vefsn;6168;352;5816;77,8;64,2;78,9
1825 Grane;1825;Grane;653;48;605;78,5;80;78,4
1826 Hattfjelldal;1826;Hattfjelldal;636;39;597;75,7;36,8;81,3
1827 Dønna;1827;Dønna;599;44;555;73,4;75,9;73,2
1828 Nesna;1828;Nesna;787;95;692;69,6;46,8;74,6
1832 Hemnes;1832;Hemnes;1954;113;1841;75,2;66,5;75,8
1833 Rana;1833;Rana;11882;715;11167;76,5;64,4;77,4
