kommune;kommune_nr;kommune_navn;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers
Nedbrytninger;;;vreg_3.alle;vreg_3.1;vreg_3.2;vreg_3.alle;vreg_3.alle
;;;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent;enhet.prosent
1445 Gloppen;1445;Gloppen;7,7;18,8;42,2;29,7;6,6
1449 Stryn;1449;Stryn;8,2;16,5;43,1;21,9;6,4
1502 Molde;1502;Molde;5,8;18;29,9;23,4;4,5
1504 Ålesund;1504;Ålesund;7,1;21;27,1;23,6;5,7
1505 Kristiansund;1505;Kristiansund;7,7;20,7;35,1;27,4;6
1511 Vanylven;1511;Vanylven;7,1;30;:;21,1;6,5
1514 Sande (M. og R.);1514;Sande (M. og R.);7,7;18,3;:;17,6;6,5
1515 Herøy (M. og R.);1515;Herøy (M. og R.);5,2;18,2;14,6;16,9;4,3
1516 Ulstein;1516;Ulstein;5,5;9,5;19,8;13,1;4,6
1517 Hareid;1517;Hareid;8,1;18,4;26,4;21,6;6,2
1519 Volda;1519;Volda;10,5;27,9;51,8;41,1;8,8
1520 Ørsta;1520;Ørsta;6,6;18;41,2;29,2;5,3
1523 Ørskog;1523;Ørskog;6,7;22,5;:;18,2;5,2
1524 Norddal;1524;Norddal;7,6;:;:;8;7,5
1525 Stranda;1525;Stranda;5,8;13,2;:;12,2;5,1
1526 Stordal;1526;Stordal;9;30,5;:;26,4;6,4
1528 Sykkylven;1528;Sykkylven;6,3;15,3;24,5;19,1;5,1
1529 Skodje;1529;Skodje;4,2;19,5;:;14,8;3,5
1531 Sula;1531;Sula;5,6;19,1;18,6;18,9;4,6
1532 Giske;1532;Giske;6,2;25,2;20,1;23,7;4,8
1534 Haram;1534;Haram;6,8;15,8;18,9;17;5,6
1535 Vestnes;1535;Vestnes;7,9;23,2;12,3;20;6,9
1539 Rauma;1539;Rauma;6,8;17,9;9,8;15,8;6,3
1543 Nesset;1543;Nesset;6,8;16,7;:;16,4;6,4
1545 Midsund;1545;Midsund;5,7;16,2;:;14,4;4,8
1546 Sandøy;1546;Sandøy;7,5;26,9;:;22,5;5,6
1547 Aukra;1547;Aukra;6,5;8,6;32,4;15,5;5,7
1548 Fræna;1548;Fræna;7;32,9;19,3;28,7;5,6
1551 Eide;1551;Eide;6,8;37,9;19,1;30,4;5,5
1554 Averøy;1554;Averøy;5,3;15,7;:;13;4,9
1557 Gjemnes;1557;Gjemnes;5,8;:;30,4;18,6;5,1
1560 Tingvoll;1560;Tingvoll;9,1;25,5;35,7;29,5;7,8
1563 Sunndal;1563;Sunndal;7,4;19;46,4;38;5,8
1566 Surnadal;1566;Surnadal;7,8;25,2;23,1;24,4;7,2
1567 Rindal;1567;Rindal;7;:;:;:;6,6
1571 Halsa;1571;Halsa;11,4;:;:;:;11,3
1573 Smøla;1573;Smøla;10,1;35;:;32,6;8,5
1576 Aure;1576;Aure;8,8;15,8;24,6;18,6;8,2
1601 Trondheim;1601;Trondheim;10;18;32,4;26,8;8,5
1612 Hemne;1612;Hemne;6,9;:;24,7;20,4;6,4
1613 Snillfjord;1613;Snillfjord;8,9;:;:;:;8,7
1617 Hitra;1617;Hitra;9,7;21,2;23,7;21,7;7,9
1620 Frøya;1620;Frøya;8,6;16,9;:;14,5;7,8
1621 Ørland;1621;Ørland;7,6;29;23;26,3;6,9
1622 Agdenes;1622;Agdenes;9,2;54,3;:;38;7,7
1624 Rissa;1624;Rissa;7,8;19,1;19,7;19,3;7,2
1627 Bjugn;1627;Bjugn;9,7;29,6;23,2;27,3;9,1
1630 Åfjord;1630;Åfjord;7,8;:;:;18,3;7,6
1632 Roan;1632;Roan;8,7;:;:;35,9;7,4
1633 Osen;1633;Osen;8,6;:;:;:;8,3
1634 Oppdal;1634;Oppdal;8,4;21;50,3;33,9;6,9
1635 Rennebu;1635;Rennebu;9,7;:;:;:;9,7
1636 Meldal;1636;Meldal;9,2;50,5;:;41,8;7,9
1638 Orkdal;1638;Orkdal;6,4;15,3;40,6;30,2;5,1
1640 Røros;1640;Røros;6,9;17;31,8;22,9;6
1644 Holtålen;1644;Holtålen;6,9;:;:;17,7;6,6
1648 Midtre Gauldal;1648;Midtre Gauldal;7,5;14,9;32,1;18;6,6
1653 Melhus;1653;Melhus;6;21,1;33,9;27,3;5
