Kommune nr & navn;kommune_nr;"Kommune
navn";innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.alle;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.innvandrere;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers;innvkat_3.befolkningen_ellers
1903 Harstad;1901;Harstad;1676;2873;1339;3179;7933;3814;3627;51;175;93;417;938;146;54;1625;2698;1246;2762;6995;3668;3573;839;1488;700;1638;4021;1907;1588;28;91;46;210;487;59;28;811;1397;654;1428;3534;1848;1560;837;1385;639;1541;3912;1907;2039;23;84;47;207;451;87;26;814;1301;592;1334;3461;1820;2013
1911 Kvæfjord;1911;Kvæfjord;198;353;216;381;916;531;512;3;37;22;58;137;20;10;195;316;194;323;779;511;502;106;197;106;190;460;271;238;3;21;15;31;71;12;4;103;176;91;159;389;259;234;92;156;110;191;456;260;274;0;16;7;27;66;8;6;92;140;103;164;390;252;268
1913 Skånland;1913;Skånland;183;321;128;310;902;557;550;6;16;9;33;117;14;9;177;305;119;277;785;543;541;86;148;68;163;471;281;267;3;7;4;15;73;5;3;83;141;64;148;398;276;264;97;173;60;147;431;276;283;3;9;5;18;44;9;6;94;164;55;129;387;267;277
1917 Ibestad;1917;Ibestad;62;137;77;148;371;267;374;0;11;11;29;42;6;3;62;126;66;119;329;261;371;28;84;35;81;200;135;172;0;10;5;17;24;3;3;28;74;30;64;176;132;169;34;53;42;67;171;132;202;0;1;6;12;18;3;0;34;52;36;55;153;129;202
1919 Gratangen;1919;Gratangen;54;133;47;124;339;174;264;5;15;3;22;72;10;7;49;118;44;102;267;164;257;23;72;22;72;181;102;116;2;4;3;10;42;4;2;21;68;19;62;139;98;114;31;61;25;52;158;72;148;3;11;0;12;30;6;5;28;50;25;40;128;66;143
1920 Lavangen;1920;Lavangen;80;122;52;99;299;154;208;3;4;0;7;16;3;0;77;118;52;92;283;151;208;41;57;36;49;159;82;101;1;0;0;3;6;1;0;40;57;36;46;153;81;101;39;65;16;50;140;72;107;2;4;0;4;10;2;0;37;61;16;46;130;70;107
1922 Bardu;1922;Bardu;291;486;193;618;1207;569;621;3;26;12;65;124;19;10;288;460;181;553;1083;550;611;153;238;101;373;610;293;270;3;13;5;31;59;9;7;150;225;96;342;551;284;263;138;248;92;245;597;276;351;0;13;7;34;65;10;3;138;235;85;211;532;266;348
1923 Salangen;1923;Salangen;126;247;194;239;689;355;373;3;4;56;65;60;8;7;123;243;138;174;629;347;366;61;117;117;125;348;182;190;0;3;46;30;22;4;2;61;114;71;95;326;178;188;65;130;77;114;341;173;183;3;1;10;35;38;4;5;62;129;67;79;303;169;178
1924 Målselv;1924;Målselv;420;784;374;995;2032;991;1038;15;22;18;97;161;35;13;405;762;356;898;1871;956;1025;215;430;205;575;1080;507;474;6;14;9;42;84;16;4;209;416;196;533;996;491;470;205;354;169;420;952;484;564;9;8;9;55;77;19;9;196;346;160;365;875;465;555
1925 Sørreisa;1925;Sørreisa;226;466;199;395;1102;528;534;3;17;12;33;124;20;4;223;449;187;362;978;508;530;123;248;89;211;559;268;240;3;9;3;17;55;9;0;120;239;86;194;504;259;240;103;218;110;184;543;260;294;0;8;9;16;69;11;3;103;210;101;168;474;249;291
1926 Dyrøy;1926;Dyrøy;64;120;69;105;334;222;257;0;0;0;8;20;8;3;64;120;69;97;314;214;254;32;55;39;58;161;123;116;0;0;0;4;2;3;2;32;55;39;54;159;120;114;32;65;30;47;173;99;141;0;0;0;4;18;5;1;32;65;30;43;155;94;140
1927 Tranøy;1927;Tranøy;93;169;78;130;427;277;336;7;22;8;15;50;11;7;86;147;70;115;377;266;329;46;83;46;67;221;142;143;4;10;5;6;16;4;0;42;73;41;61;205;138;143;47;86;32;63;206;135;193;3;12;3;9;34;7;7;44;74;29;54;172;128;186
1928 Torsken;1928;Torsken;37;89;43;95;250;155;209;0;15;4;14;43;9;0;37;74;39;81;207;146;209;22;43;24;51;128;87;88;0;6;3;8;18;2;0;22;37;21;43;110;85;88;15;46;19;44;122;68;121;0;9;1;6;25;7;0;15;37;18;38;97;61;121
1929 Berg;1929;Berg;53;79;44;138;273;149;182;4;17;0;48;53;4;0;49;62;44;90;220;145;182;25;46;21;80;146;77;83;4;5;0;24;30;1;0;21;41;21;56;116;76;83;28;33;23;58;127;72;99;0;12;0;24;23;3;0;28;21;23;34;104;69;99
1931 Lenvik;1931;Lenvik;853;1562;709;1344;3674;1711;1704;19;85;80;180;379;46;22;834;1477;629;1164;3295;1665;1682;435;808;370;711;1904;858;765;9;46;48;98;181;18;8;426;762;322;613;1723;840;757;418;754;339;633;1770;853;939;10;39;32;82;198;28;14;408;715;307;551;1572;825;925
1933 Balsfjord;1933;Balsfjord;288;676;305;612;1726;876;1110;3;13;8;53;150;34;19;285;663;297;559;1576;842;1091;143;338;151;337;930;465;520;3;7;4;22;76;11;8;140;331;147;315;854;454;512;145;338;154;275;796;411;590;0;6;4;31;74;23;11;145;332;150;244;722;388;579
1936 Karlsøy;1936;Karlsøy;111;233;115;277;702;409;487;0;24;5;49;118;11;4;111;209;110;228;584;398;483;59;114;59;151;370;227;239;0;13;5;22;55;6;2;59;101;54;129;315;221;237;52;119;56;126;332;182;248;0;11;0;27;63;5;2;52;108;56;99;269;177;246
1938 Lyngen;1938;Lyngen;146;381;148;309;875;515;618;0;11;6;21;75;13;7;146;370;142;288;800;502;611;69;191;88;164;474;266;280;0;9;5;14;43;4;3;69;182;83;150;431;262;277;77;190;60;145;401;249;338;0;2;1;7;32;9;4;77;188;59;138;369;240;334
1939 Storfjord;1939;Storfjord;113;238;114;214;572;402;288;0;6;6;34;56;25;12;113;232;108;180;516;377;276;51;124;67;111;293;221;136;0;4;3;21;20;9;6;51;120;64;90;273;212;130;62;114;47;103;279;181;152;0;2;3;13;36;16;6;62;112;44;90;243;165;146
1940 Gáivuotna Kåfjord;1940;Gáivuotna Kåfjord;112;233;122;286;638;370;460;0;0;0;35;69;11;6;112;233;122;251;569;359;454;61;114;62;151;356;206;210;0;0;0;25;32;2;1;61;114;62;126;324;204;209;51;119;60;135;282;164;250;0;0;0;10;37;9;5;51;119;60;125;245;155;245
1941 Skjervøy;1941;Skjervøy;162;355;190;357;894;414;509;6;20;10;48;119;17;8;156;335;180;309;775;397;501;74;184;100;195;470;210;239;3;16;5;27;63;10;4;71;168;95;168;407;200;235;88;171;90;162;424;204;270;3;4;5;21;56;7;4;85;167;85;141;368;197;266
1942 Nordreisa;1942;Nordreisa;324;601;290;595;1495;753;796;6;27;14;40;119;18;8;318;574;276;555;1376;735;788;156;317;161;317;772;384;373;3;12;3;18;55;8;5;153;305;158;299;717;376;368;168;284;129;278;723;369;423;3;15;11;22;64;10;3;165;269;118;256;659;359;420
1943 Kvænangen;1943;Kvænangen;63;140;56;150;344;211;270;3;3;0;3;23;15;4;60;137;56;147;321;196;266;27;75;36;86;178;114;130;3;1;0;0;10;6;1;24;74;36;86;168;108;129;36;65;20;64;166;97;140;0;2;0;3;13;9;3;36;63;20;61;153;88;137
2002 Vardø;2002;Vardø;97;200;93;252;685;412;380;4;7;4;37;129;44;14;93;193;89;215;556;368;366;54;102;47;137;389;214;166;4;7;4;22;75;21;5;50;95;43;115;314;193;161;43;98;46;115;296;198;214;0;0;0;15;54;23;9;43;98;46;100;242;175;205
2003 Vadsø;2003;Vadsø;356;836;408;839;2108;854;822;28;159;104;205;411;82;31;328;677;304;634;1697;772;791;177;421;225;469;1080;428;383;12;77;64;136;214;26;13;165;344;161;333;866;402;370;179;415;183;370;1028;426;439;16;82;40;69;197;56;18;163;333;143;301;831;370;421
2004 Hammerfest;2004;Hammerfest;807;1189;505;1593;3665;1349;1179;35;132;61;346;773;124;33;772;1057;444;1247;2892;1225;1146;428;599;264;845;1918;674;540;18;71;31;193;448;48;14;410;528;233;652;1470;626;526;379;590;241;748;1747;675;639;17;61;30;153;325;76;19;362;529;211;595;1422;599;620
2011 Guovdageaidnu Kautokeino;2011;Guovdageaidnu Kautokeino;224;353;157;388;1007;448;354;4;8;3;29;75;31;8;220;345;154;359;932;417;346;111;187;82;195;565;231;148;1;4;3;8;28;17;4;110;183;79;187;537;214;144;113;166;75;193;442;217;206;3;4;0;21;47;14;4;110;162;75;172;395;203;202
2012 Alta;2012;Alta;1646;2817;1227;2949;6566;2577;2040;28;112;75;419;790;114;35;1618;2705;1152;2530;5776;2463;2005;770;1462;666;1514;3349;1353;946;12;55;53;220;406;49;12;758;1407;613;1294;2943;1304;934;876;1355;561;1435;3217;1224;1094;16;57;22;199;384;65;23;860;1298;539;1236;2833;1159;1071
2014 Loppa;2014;Loppa;33;87;69;105;295;199;239;0;5;4;21;56;7;0;33;82;65;84;239;192;239;16;55;42;63;165;119;118;0;4;2;14;31;5;0;16;51;40;49;134;114;118;17;32;27;42;130;80;121;0;1;2;7;25;2;0;17;31;25;35;105;78;121
2015 Hasvik;2015;Hasvik;79;100;43;136;343;168;168;12;8;0;45;101;14;3;67;92;43;91;242;154;165;37;54;24;78;192;92;79;7;1;0;26;58;10;3;30;53;24;52;134;82;76;42;46;19;58;151;76;89;5;7;0;19;43;4;0;37;39;19;39;108;72;89
2017 Kvalsund;2017;Kvalsund;51;112;48;90;302;206;242;0;5;3;6;39;10;4;51;107;45;84;263;196;238;28;60;26;41;162;109;126;0;0;0;2;14;2;1;28;60;26;39;148;107;125;23;52;22;49;140;97;116;0;5;3;4;25;8;3;23;47;19;45;115;89;113
2018 Måsøy;2018;Måsøy;61;120;59;130;387;224;260;0;11;6;27;111;15;0;61;109;53;103;276;209;260;28;69;28;65;212;126;135;0;4;2;18;61;9;0;28;65;26;47;151;117;135;33;51;31;65;175;98;125;0;7;4;9;50;6;0;33;44;27;56;125;92;125
2019 Nordkapp;2019;Nordkapp;177;369;174;373;1059;573;488;4;42;14;47;200;39;9;173;327;160;326;859;534;479;95;190;85;203;571;308;227;4;24;10;22;80;22;4;91;166;75;181;491;286;223;82;179;89;170;488;265;261;0;18;4;25;120;17;5;82;161;85;145;368;248;256
2020 Porsanger Porsángu Porsanki;2020;Porsanger Porsángu Porsanki;206;452;225;445;1303;732;600;6;24;13;54;134;32;17;200;428;212;391;1169;700;583;97;212;116;238;662;387;278;3;4;8;32;44;9;4;94;208;108;206;618;378;274;109;240;109;207;641;345;322;3;20;5;22;90;23;13;106;220;104;185;551;322;309
2021 Kárásjohka Karasjok;2021;Kárásjohka Karasjok;147;339;173;358;879;437;365;0;6;4;12;86;28;10;147;333;169;346;793;409;355;75;181;94;198;453;237;163;0;3;1;3;28;10;3;75;178;93;195;425;227;160;72;158;79;160;426;200;202;0;3;3;9;58;18;7;72;155;76;151;368;182;195
2022 Lebesby;2022;Lebesby;75;161;75;140;440;236;214;3;5;0;23;78;24;3;72;156;75;117;362;212;211;34;81;45;85;233;130;109;1;3;0;11;26;8;1;33;78;45;74;207;122;108;41;80;30;55;207;106;105;2;2;0;12;52;16;2;39;78;30;43;155;90;103
2023 Gamvik;2023;Gamvik;61;90;62;146;376;184;179;6;17;0;56;120;23;3;55;73;62;90;256;161;176;29;50;37;74;217;94;91;4;9;0;28;77;11;1;25;41;37;46;140;83;90;32;40;25;72;159;90;88;2;8;0;28;43;12;2;30;32;25;44;116;78;86
2024 Berlevåg;2024;Berlevåg;46;112;60;132;335;173;199;3;4;3;25;64;14;0;43;108;57;107;271;159;199;25;58;22;83;167;97;93;0;1;1;17;27;7;0;25;57;21;66;140;90;93;21;54;38;49;168;76;106;3;3;2;8;37;7;0;18;51;36;41;131;69;106
2025 Deatnu Tana;2025;Deatnu Tana;152;330;129;326;949;504;493;2;15;7;29;148;45;25;150;315;122;297;801;459;468;80;176;65;177;505;271;245;0;10;4;16;70;17;5;80;166;61;161;435;254;240;72;154;64;149;444;233;248;2;5;3;13;78;28;20;70;149;61;136;366;205;228
2027 Unjárga Nesseby;2027;Unjárga Nesseby;74;69;41;110;259;181;185;3;8;3;18;36;14;0;71;61;38;92;223;167;185;39;33;24;59;143;92;99;2;5;3;7;17;2;0;37;28;21;52;126;90;99;35;36;17;51;116;89;86;1;3;0;11;19;12;0;34;33;17;40;97;77;86
2028 Båtsfjord;2028;Båtsfjord;129;260;114;300;782;342;280;9;38;14;100;259;45;10;120;222;100;200;523;297;270;61;117;53;176;418;182;138;5;20;6;55;118;16;3;56;97;47;121;300;166;135;68;143;61;124;364;160;142;4;18;8;45;141;29;7;64;125;53;79;223;131;135
2030 Sør-Varanger;2030;Sør-Varanger;647;1175;541;1441;3481;1430;1375;20;84;36;284;667;160;54;627;1091;505;1157;2814;1270;1321;335;582;284;761;1800;713;622;10;48;21;146;310;51;20;325;534;263;615;1490;662;602;312;593;257;680;1681;717;753;10;36;15;138;357;109;34;302;557;242;542;1324;608;719
